 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=-0.500000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=-0.500000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=-0.500000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=-0.500000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=-0.500000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=-0.500000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=-0.500000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
 pid_x.v=0.000000	  pid_y.v=0.000000	  pid_h.v=0.000000	  pid_yaw.v=0.000000	 
